"release_year","type","total_releases"
"2021","TV Show","315"
"2021","Movie","277"
"2020","Movie","517"
"2020","TV Show","436"
"2019","Movie","633"
"2019","TV Show","397"
"2018","TV Show","380"
"2018","Movie","767"
"2017","Movie","767"
"2017","TV Show","265"
"2016","Movie","658"
"2016","TV Show","244"
"2015","TV Show","162"
"2015","Movie","398"
"2014","TV Show","88"
"2014","Movie","264"
"2013","Movie","225"
"2013","TV Show","63"
"2012","TV Show","64"
"2012","Movie","173"
"2011","TV Show","40"
"2011","Movie","145"
"2010","Movie","154"
"2010","TV Show","40"
"2009","TV Show","34"
"2009","Movie","118"
"2008","TV Show","23"
"2008","Movie","113"
"2007","TV Show","14"
"2007","Movie","74"
"2006","Movie","82"
"2006","TV Show","14"
"2005","TV Show","13"
"2005","Movie","67"
"2004","TV Show","9"
"2004","Movie","55"
"2003","TV Show","10"
"2003","Movie","51"
"2002","TV Show","7"
"2002","Movie","44"
"2001","TV Show","5"
"2001","Movie","40"
"2000","Movie","33"
"2000","TV Show","4"
